   PID    TID %CPU     TIME NLWP  C
 41991  45465  0.0 00:00:01 1072  0
 41991  45466  0.0 00:00:01 1072  0
 41991  45467  0.0 00:00:01 1072  0
 41991  45468  0.0 00:00:11 1072  0
 41991  45469  0.0 00:00:01 1072  0
 41991  45470  0.0 00:00:11 1072  0
 41991  45471  0.0 00:00:11 1072  0
 41991  45472  0.0 00:00:11 1072  0
 41991  45473  0.0 00:00:01 1072  0
 41991  45474  0.0 00:00:01 1072  0
 41991  45475  0.0 00:00:11 1072  0
 41991  45476  0.0 00:00:11 1072  0
 41991  45478  0.0 00:00:11 1072  0
 41991  45479  0.0 00:00:11 1072  0
 41991  45480  0.0 00:00:11 1072  0
 41991  45481  0.0 00:00:11 1072  0
 41991  45482  0.0 00:00:01 1072  0
 41991  45483  0.0 00:00:01 1072  0
 41991  45484  0.0 00:00:01 1072  0
 41991  45485  0.0 00:00:11 1072  0
 41991  45486  0.0 00:00:01 1072  0
 41991  45487  0.0 00:00:11 1072  0
 41991  45488  0.0 00:00:01 1072  0
 41991  45489  0.0 00:00:11 1072  0
 41991  45490  0.0 00:00:11 1072  0
 41991  45491  0.0 00:00:01 1072  0
 41991  45493  0.0 00:00:11 1072  0
